species_name,class,max_obs_length_cm
Chaetodon tricinctus,Actinopterygii,20
Chaetodon ulietensis,Actinopterygii,20
Chaetodon unimaculatus,Actinopterygii,20
Chaetodontoplus meredithi,Actinopterygii,20
Cheilodipterus macrodon,Actinopterygii,20
Chelmon rostratus,Actinopterygii,20
Choerodon cyanodus,Actinopterygii,20
Comanthus tasmaniae,Crinoidea,20
Coris dorsomacula,Actinopterygii,20
Diploprion bifasciatum,Actinopterygii,20
Epinephelus merra,Actinopterygii,20
Epinephelus ongus,Actinopterygii,20
Eupetrichthys angustipes,Actinopterygii,20
Heliocidaris tuberculata,Echinoidea,20
Hemiglyphidodon plagiometopon,Actinopterygii,20
Heniochus acuminatus,Actinopterygii,20
Holothuria fuscocinerea,Holothuroidea,20
Holothuria leucospilota,Holothuroidea,20
Holothuria nobilis,Holothuroidea,20
Holothuria scabra,Holothuroidea,20
Labracoglossa nitida,Actinopterygii,20
Labrichthys unilineatus,Actinopterygii,20
Linckia guildingi,Asteroidea,20
Mecaenichthys immaculatus,Actinopterygii,20
Meuschenia scaber,Actinopterygii,20
Monodactylus argenteus,Actinopterygii,20
Monotaxis grandoculis,Actinopterygii,20
Myripristis violacea,Actinopterygii,20
Novaculichthys taeniourus,Actinopterygii,20
Ophidiaster confertus,Asteroidea,20
Oxycheilinus bimaculatus,Actinopterygii,20
Panulirus longipes,Malacostraca,20
Panulirus versicolor,Malacostraca,20
Paracaesio xanthura,Actinopterygii,20
Paracirrhites forsteri,Actinopterygii,20
Parapercis hexophtalma,Actinopterygii,20
Parapercis pacifica,Actinopterygii,20
Parapercis stricticeps,Actinopterygii,20
Parupeneus crassilabris,Actinopterygii,20
Pempheris affinis,Actinopterygii,20
Pempheris compressa,Actinopterygii,20
Penion mandarinus,Gastropoda,20
Petricia vernicina,Asteroidea,20
Plectaster decanus,Asteroidea,20
Pseudolabrus luculentus,Actinopterygii,20
Pterocaesio digramma,Actinopterygii,20
Scorpaenopsis diabolus,Actinopterygii,20
Sepia mestus,Cephalopoda,20
Sepia plangon,Cephalopoda,20
Sillago robusta,Actinopterygii,20
Sphyraena obtusata,Actinopterygii,20
Stethojulis interrupta,Actinopterygii,20
Stichopus horrens,Holothuroidea,20
Synodus similis,Actinopterygii,20
Thysanophrys cirronasa,Actinopterygii,20
Zebrasoma scopas,Actinopterygii,20
Abudefduf bengalensis,Actinopterygii,15
Abudefduf sexfasciatus,Actinopterygii,15
Abudefduf vaigiensis,Actinopterygii,15
Abudefduf whitleyi,Actinopterygii,15
Acanthochromis polyacanthus,Actinopterygii,15
Acanthurus nigroris,Actinopterygii,15
Amphichaetodon howensis,Actinopterygii,15
Aphelodoris varia,Gastropoda,15
Aracana aurita,Actinopterygii,15
Arothron nigropunctatus,Actinopterygii,15
Astrostole scaber,Asteroidea,15
Atrosalarias holomelas,Actinopterygii,15
Brachaluteres jacksonianus,Actinopterygii,15
Caesio teres,Actinopterygii,15
Canthigaster callisterna,Actinopterygii,15
Centrostephanus rodgersii,Echinoidea,15
Ceratosoma brevicaudatum,Gastropoda,15
Chaetodon auriga,Actinopterygii,15
Chaetodon guentheri,Actinopterygii,15
Chaetodon lunulatus,Actinopterygii,15
Chaetodon melannotus,Actinopterygii,15
Chaetodon ornatissimus,Actinopterygii,15
Chaetodon oxycephalus,Actinopterygii,15
Chaetodon rainfordi,Actinopterygii,15
Chaetodon speculum,Actinopterygii,15
Chaetodon trifascialis,Actinopterygii,15
Chaetodon vagabundus,Actinopterygii,15
Cirrhilabrus punctatus,Actinopterygii,15
Comanthus suavia,Crinoidea,15
Coris batuensis,Actinopterygii,15
Coris pictoides,Actinopterygii,15
Diadema savignyi,Echinoidea,15
Dischistodus melanotus,Actinopterygii,15
Dischistodus prosopotaenia,Actinopterygii,15
Dischistodus pseudochrysopoecilus,Actinopterygii,15
Dolabella auricularia,Gastropoda,15
Girella cyanea,Actinopterygii,15
Gomphosus varius,Actinopterygii,15
Gymnapistes marmoratus,Actinopterygii,15
Halichoeres chloropterus,Actinopterygii,15
Halichoeres marginatus,Actinopterygii,15
Halichoeres melanurus,Actinopterygii,15
Halichoeres nebulosus,Actinopterygii,15
Hapalochlaena fasciata,Cephalopoda,15
Heliocidaris erythrogramma,Echinoidea,15
Heniochus varius,Actinopterygii,15
Herklotsichthys castelnaui,Actinopterygii,15
Himerometra robustipinna,Crinoidea,15
Hippocampus abdominalis,Actinopterygii,15
Holothuria hilla,Holothuroidea,15
Holothuria impatiens,Holothuroidea,15
Hyporhamphus australis,Actinopterygii,15
Labropsis australis,Actinopterygii,15
Linckia multifora,Asteroidea,15
Lutjanus kasmira,Actinopterygii,15
Metacarcinus novaezelandiae,Malacostraca,15
Meuschenia venusta,Actinopterygii,15
Microcanthus strigatus,Actinopterygii,15
Mithrodia clavigera,Asteroidea,15
Myripristis kuntee,Actinopterygii,15
Myripristis murdjan,Actinopterygii,15
Naso hexacanthus,Actinopterygii,15
Neoglyphidodon melas,Actinopterygii,15
Neoodax balteatus,Actinopterygii,15
Parupeneus ciliatus,Actinopterygii,15
Pervagor alternans,Actinopterygii,15
Phyllacanthus parvispinus,Echinoidea,15
Pomacentrus grammorhynchus,Actinopterygii,15
Pseudoboletia indiana,Echinoidea,15
Pseudocheilinus hexataenia,Actinopterygii,15
Pseudocoris yamashiroi,Actinopterygii,15
Pseudorhombus jenynsii,Actinopterygii,15
Ptereleotris evides,Actinopterygii,15
Ptilometra australis,Crinoidea,15
Ranella australasia,Gastropoda,15
Siganus puellus,Actinopterygii,15
Stegastes apicalis,Actinopterygii,15
Stegastes gascoynei,Actinopterygii,15
Stegastes nigricans,Actinopterygii,15
Stethojulis bandanensis,Actinopterygii,15
Sufflamen bursa,Actinopterygii,15
Synodus binotatus,Actinopterygii,15
Synodus dermatogenys,Actinopterygii,15
Thalassoma hardwicke,Actinopterygii,15
Thalassoma nigrofasciatum,Actinopterygii,15
Trachinops caudimaculatus,Actinopterygii,15
Trachinops taeniatus,Actinopterygii,15
Tripneustes gratilla,Echinoidea,15
Tropiometra afra,Crinoidea,15
Turbo cepoides,Gastropoda,15
Valenciennea strigata,Actinopterygii,15
Amblygobius phalaena,Actinopterygii,12.5
Anampses caeruleopunctatus,Actinopterygii,12.5
Anampses femininus,Actinopterygii,12.5
Anampses geographicus,Actinopterygii,12.5
Aplysia extraordinaria,Gastropoda,12.5
Aplysia sydneyensis,Gastropoda,12.5
Caesio caerulaurea,Actinopterygii,12.5
Cantherhines pardalis,Actinopterygii,12.5
Cenolia glebosus,Crinoidea,12.5
Centropyge bicolor,Actinopterygii,12.5
Centropyge flavissima,Actinopterygii,12.5
Chaetodon aureofasciatus,Actinopterygii,12.5
Chaetodon baronessa,Actinopterygii,12.5
Chaetodon mertensii,Actinopterygii,12.5
Chaetodon plebeius,Actinopterygii,12.5
Cheilodipterus artus,Actinopterygii,12.5
Chromis margaritifer,Actinopterygii,12.5
Chromis nitida,Actinopterygii,12.5
Chromis weberi,Actinopterygii,12.5
Cirrhitichthys aprinus,Actinopterygii,12.5
Clarkcomanthus littoralis,Crinoidea,12.5
Cleidopus gloriamaris,Actinopterygii,12.5
Comanthus parvicirrus,Crinoidea,12.5
Coris aurilineata,Actinopterygii,12.5
Diadema setosum,Echinoidea,12.5
Diodon holocanthus,Actinopterygii,12.5
Dischistodus perspicillatus,Actinopterygii,12.5
Dotalabrus aurantiacus,Actinopterygii,12.5
Echinaster colemani,Asteroidea,12.5
Echinaster luzonicus,Asteroidea,12.5
Eocallionymus papilio,Actinopterygii,12.5
Grammistes sexlineatus,Actinopterygii,12.5
Halichoeres biocellatus,Actinopterygii,12.5
Halichoeres chrysus,Actinopterygii,12.5
Halichoeres trimaculatus,Actinopterygii,12.5
Heteroclinus tristis,Actinopterygii,12.5
Hippocampus whitei,Actinopterygii,12.5
Labroides dimidiatus,Actinopterygii,12.5
Lutjanus fulviflamma,Actinopterygii,12.5
Meiacanthus grammistes,Actinopterygii,12.5
Nectria ocellata,Asteroidea,12.5
Neoglyphidodon nigroris,Actinopterygii,12.5
Ogilbyina queenslandiae,Actinopterygii,12.5
Ovula ovum,Gastropoda,12.5
Oxycheilinus orientalis,Actinopterygii,12.5
Paracanthurus hepatus,Actinopterygii,12.5
Paracirrhites arcatus,Actinopterygii,12.5
Paramonacanthus otisensis,Actinopterygii,12.5
Parapercis australis,Actinopterygii,12.5
Parapercis lineopunctata,Actinopterygii,12.5
Parapercis queenslandica,Actinopterygii,12.5
Parupeneus barberinoides,Actinopterygii,12.5
Pentagonaster dubeni,Asteroidea,12.5
Plagiotremus tapeinosoma,Actinopterygii,12.5
Plectroglyphidodon lacrymatus,Actinopterygii,12.5
Pomacentrus australis,Actinopterygii,12.5
Pomacentrus wardi,Actinopterygii,12.5
Pristicon trimaculatus,Actinopterygii,12.5
Pseudochromis fuscus,Actinopterygii,12.5
Siphonognathus beddomei,Actinopterygii,12.5
Stethojulis strigiventer,Actinopterygii,12.5
Suezichthys devisi,Actinopterygii,12.5
Synodus doaki,Actinopterygii,12.5
Synodus jaculum,Actinopterygii,12.5
Tetractenos hamiltoni,Actinopterygii,12.5
Thalassoma amblycephalum,Actinopterygii,12.5
Thalassoma jansenii,Actinopterygii,12.5
Torquigener squamicauda,Actinopterygii,12.5
Trachypoma macracanthus,Actinopterygii,12.5
Turbo imperialis,Gastropoda,12.5
Acanthaluteres spilomelanurus,Actinopterygii,10
Acanthurus triostegus,Actinopterygii,10
Aeoliscus strigatus,Actinopterygii,10
Amblyglyphidodon curacao,Actinopterygii,10
Amblygobius decussatus,Actinopterygii,10
Amphiprion akindynos,Actinopterygii,10
Amphiprion mccullochi,Actinopterygii,10
Antedon incommoda,Crinoidea,10
Apogon doederleini,Actinopterygii,10
Armina magna,Gastropoda,10
Aspidontus dussumieri,Actinopterygii,10
Aspidontus taeniatus,Actinopterygii,10
Assessor macneilli,Actinopterygii,10
Astropecten vappa,Asteroidea,10
Canthigaster papua,Actinopterygii,10
Centropyge tibicen,Actinopterygii,10
Chaetodon bennetti,Actinopterygii,10
Chaetodon citrinellus,Actinopterygii,10
Chaetodon kleinii,Actinopterygii,10
Chaetodon lunula,Actinopterygii,10
Chaetodon pelewensis,Actinopterygii,10
Cheilodipterus quinquelineatus,Actinopterygii,10
Chromis atripectoralis,Actinopterygii,10
Chromis flavomaculata,Actinopterygii,10
Chrysiptera notialis,Actinopterygii,10
Cirrhitichthys falco,Actinopterygii,10
Cirripectes alboapicalis,Actinopterygii,10
Cirripectes chelomatus,Actinopterygii,10
Cirripectes stigmaticus,Actinopterygii,10
Coriocella nigra,Gastropoda,10
Corythoichthys schultzi,Actinopterygii,10
Dardanus crassimanus,Malacostraca,10
Dascyllus reticulatus,Actinopterygii,10
Dendrodoris gunnamatta,Gastropoda,10
