ecoregion,site_code,bin_mid,norm_density,lat,lon
Bassian,DE7,109.254833995939,5.33470869120796e-05,-43.01334,147.33089
Lord Howe and Norfolk Islands,EMR1,109.254833995939,0.0162041776495442,-29.45103,159.06227
Lord Howe and Norfolk Islands,EMR18,109.254833995939,0.0113095824253609,-29.92554,159.0511
Lord Howe and Norfolk Islands,EMR2,109.254833995939,0.014110304488245,-29.45683,159.0622
Lord Howe and Norfolk Islands,EMR20,109.254833995939,0.00498795262627944,-29.93192,159.06155
Lord Howe and Norfolk Islands,EMR25,109.254833995939,0.00993589493737482,-29.91181,159.08131
Lord Howe and Norfolk Islands,EMR37,109.254833995939,0.036889510599703,-29.48267,159.06495
Lord Howe and Norfolk Islands,EMR42,109.254833995939,0.0023472718241315,-29.94249,159.0847
Lord Howe and Norfolk Islands,EMR5,109.254833995939,0.00810875721063609,-29.44269,159.06088
Lord Howe and Norfolk Islands,EMR8,109.254833995939,0.0045611759309828,-29.44563,159.09369
Central and Southern Great Barrier Reef,GBR24,109.254833995939,0.0269802892057842,-19.81261,149.13292
Central and Southern Great Barrier Reef,GBR27,109.254833995939,0.0418774632259825,-19.79517,149.07878
Central and Southern Great Barrier Reef,GBR76,109.254833995939,0.00617492531007321,-19.80832,149.06582
Cape Howe,JBMP25,109.254833995939,0.0297676744969404,-35.06756,150.68239
Cape Howe,JBMP6,109.254833995939,0.0315548019084951,-35.13676,150.76428
Cape Howe,KG-S13,109.254833995939,0.0134434659018441,-39.44477844,147.3012238
Cape Howe,KG-S15,109.254833995939,0.00815543591168416,-39.49295044,147.3421478
Cape Howe,KG-S4,109.254833995939,0.00880226934049313,-39.46456909,147.2946625
Bassian,NIN-S1,109.254833995939,0.00220056733512328,-43.27292,147.14343
Bassian,NIN-S2,109.254833995939,0.00240061891104358,-43.29383,147.14182
Cape Howe,NSW47,109.254833995939,0.231846439719898,-37.10968,149.92238
Cape Howe,NSW5,109.254833995939,0.00942909761171006,-37.10036,149.9285
Manning-Hawkesbury,PS13,109.254833995939,0.00938681720772123,-32.71802,152.14133
Manning-Hawkesbury,PS17,109.254833995939,0.0175338898361567,-32.714463,152.15183
Torres Strait Northern Great Barrier Reef,QLD43,109.254833995939,0.00934907698134194,-14.69473,145.45921
Torres Strait Northern Great Barrier Reef,QLD44,109.254833995939,0.00586817956032875,-14.68942,145.46617
Torres Strait Northern Great Barrier Reef,QLD48,109.254833995939,0.0950378353338697,-14.68689,145.44195
Torres Strait Northern Great Barrier Reef,QLD51,109.254833995939,0.00607267672682506,-14.65706,145.45076
Tweed-Moreton,SI21,109.254833995939,0.0352683519029859,-30.00751,153.27028
Tweed-Moreton,SI29,109.254833995939,0.018084662463195,-29.98321,153.2278
Tweed-Moreton,SI6,109.254833995939,0.0371101735501121,-30.01765,153.2692
